url,adress
https://spb.hh.ru/vacancy/22949120,"Достоевская, Санкт-Петербург, 4 линия, метро Площадь Александра Невского - 2"
https://spb.hh.ru/vacancy/30349110,"Санкт-Петербург, Площадь Ленина, "
https://spb.hh.ru/vacancy/29933390,"Лесная, Санкт-Петербург, Кантемировская улица, 37"
https://spb.hh.ru/vacancy/30523018,"Московская, Санкт-Петербург, Пулковское шоссе, 43к1"
https://spb.hh.ru/vacancy/30570232,"Удельная, Санкт-Петербург, Афонская улица, 2"
https://spb.hh.ru/vacancy/30507864,"Электросила, Санкт-Петербург, Варшавская улица, 6к1"
https://spb.hh.ru/vacancy/30503574,"Санкт-Петербург, Пушкинская, "
https://spb.hh.ru/vacancy/30617052,"Парнас, Санкт-Петербург, 2 линия, метро Проспект Просвещения"
https://spb.hh.ru/vacancy/30054200,"Нарвская, Санкт-Петербург, улица Маршала Говорова, 52"
https://spb.hh.ru/vacancy/30320837,"Кировский завод, Санкт-Петербург, улица Маршала Говорова, 11/3"
https://spb.hh.ru/vacancy/30562793,"Санкт-Петербург, Площадь Александра Невского 1, "
https://spb.hh.ru/vacancy/30106218,"Санкт-Петербург, Озерки, "
https://spb.hh.ru/vacancy/30287061,"Московская, Санкт-Петербург, Пулковское шоссе, 41А"
https://spb.hh.ru/vacancy/30212727,"Ленинский проспект, Санкт-Петербург, Ленинский проспект, 138/5"
https://spb.hh.ru/vacancy/22664777,"Ладожская, Санкт-Петербург, шоссе Революции, 58а"
